unitid,insname,city,state,lat,long
199847,Wake Forest University,Winston Salem,North Carolina,36.135301,-80.279004
199865,Warren Wilson College,Swannanoa,North Carolina,35.611762,-82.441097
201645,Case Western Reserve University,Cleveland,Ohio,41.500812,-81.605769
202480,University of Dayton,Dayton,Ohio,39.73686,-84.173662
202514,Defiance College,Defiance,Ohio,41.300336,-84.356596
202523,Denison University,Granville,Ohio,40.072582,-82.520625
203128,Hiram College,Hiram,Ohio,41.310998,-81.141552
203368,John Carroll University,University Heights,Ohio,41.488978,-81.533103
203535,Kenyon College,Gambier,Ohio,40.374408,-82.397977
204501,Oberlin College,Oberlin,Ohio,41.29474,-82.221786
204796,Ohio State University-Main Campus,Columbus,Ohio,39.998389,-83.009001
204909,Ohio Wesleyan University,Delaware,Ohio,40.296912,-83.067912
206525,Wittenberg University,Springfield,Ohio,39.937463,-83.814082
206589,The College of Wooster,Wooster,Ohio,40.81046,-81.934674
209056,Lewis & Clark College,Portland,Oregon,45.450547,-122.672478
209551,University of Oregon,Eugene,Oregon,44.044515,-123.07398
209807,Portland State University,Portland,Oregon,45.511229,-122.683553
209922,Reed College,Portland,Oregon,45.480376,-122.63064
210401,Willamette University,Salem,Oregon,44.935743,-123.030727
210571,Albright College,Reading,Pennsylvania,40.360248,-75.910152
210669,Allegheny College,Meadville,Pennsylvania,41.648068,-80.146922
211273,Bryn Mawr College,Bryn Mawr,Pennsylvania,40.028541,-75.314988
211291,Bucknell University,Lewisburg,Pennsylvania,40.954489,-76.886275
211440,Carnegie Mellon University,Pittsburgh,Pennsylvania,40.444616,-79.942914
212009,Dickinson College,Carlisle,Pennsylvania,40.202796,-77.197854
212106,Duquesne University,Pittsburgh,Pennsylvania,40.437496,-79.993046
212577,Franklin and Marshall College,Lancaster,Pennsylvania,40.048045,-76.319037
212674,Gettysburg College,Gettysburg,Pennsylvania,39.836091,-77.234982
212911,Haverford College,Haverford,Pennsylvania,40.013368,-75.302562
213020,Indiana University of Pennsylvania-Main Campus,Indiana,Pennsylvania,40.615589,-79.159869
213251,Juniata College,Huntingdon,Pennsylvania,40.499511,-78.015204
213385,Lafayette College,Easton,Pennsylvania,40.700512,-75.209058
214175,Muhlenberg College,Allentown,Pennsylvania,40.597362,-75.508954
214777,Pennsylvania State University-Main Campus,University Park,Pennsylvania,40.800732,-77.861644
215062,University of Pennsylvania,Philadelphia,Pennsylvania,39.951002,-75.193618
215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,Pennsylvania,40.444502,-79.954692
216278,Susquehanna University,Selinsgrove,Pennsylvania,40.79774,-76.87521
216287,Swarthmore College,Swarthmore,Pennsylvania,39.904081,-75.356066
216339,Temple University,Philadelphia,Pennsylvania,39.980943,-75.158267
216524,Ursinus College,Collegeville,Pennsylvania,40.19405,-75.455654
216597,Villanova University,Villanova,Pennsylvania,40.039388,-75.345457
216667,Washington & Jefferson College,Washington,Pennsylvania,40.171898,-80.240388
216852,Widener University-Main Campus,Chester,Pennsylvania,39.86158,-75.356718
217156,Brown University,Providence,Rhode Island,41.827605,-71.404467
217402,Providence College,Providence,Rhode Island,41.844064,-71.43792
218070,Furman University,Greenville,South Carolina,34.920785,-82.441473
218539,Presbyterian College,Clinton,South Carolina,34.465697,-81.874408
218973,Wofford College,Spartanburg,South Carolina,34.957914,-81.934572
221351,Rhodes College,Memphis,Tennessee,35.154424,-89.989187
221519,Sewanee-The University of the South,Sewanee,Tennessee,35.20443,-85.917772
221759,The University of Tennessee-Knoxville,Knoxville,Tennessee,35.955093,-83.929696
221999,Vanderbilt University,Nashville,Tennessee,36.14443,-86.804875
222983,Austin College,Sherman,Texas,33.646307,-96.598772
227757,Rice University,Houston,Texas,29.716485,-95.403625
228343,Southwestern University,Georgetown,Texas,30.635194,-97.664637
228723,Texas A & M University-College Station,College Station,Texas,30.613226,-96.340322
228778,The University of Texas at Austin,Austin,Texas,30.284733,-97.737279
229267,Trinity University,San Antonio,Texas,29.46286,-98.482577
230816,Bennington College,Bennington,Vermont,42.92004,-73.237498
230959,Middlebury College,Middlebury,Vermont,44.009117,-73.176068
231174,University of Vermont,Burlington,Vermont,44.479262,-73.198128
232256,Hampden-Sydney College,Hampden-Sydney,Virginia,37.242482,-78.461371
232308,Hollins University,Roanoke,Virginia,37.354629,-79.942196
233295,Randolph-Macon College,Ashland,Virginia,37.749654,-77.472253
233301,Randolph College,Lynchburg,Virginia,37.437429,-79.17079
233374,University of Richmond,University of Richmond,Virginia,37.577625,-77.538702
233718,Sweet Briar College,Sweet Briar,Virginia,37.556317,-79.079735
234076,University of Virginia-Main Campus,Charlottesville,Virginia,38.036546,-78.502599
234207,Washington and Lee University,Lexington,Virginia,37.787832,-79.445724
236328,University of Puget Sound,Tacoma,Washington,47.263651,-122.479714
236595,Seattle University,Seattle,Washington,47.610138,-122.3197
236948,University of Washington-Seattle Campus,Seattle,Washington,47.656213,-122.313115
